Investment_Period_Years,Comparison_Start_Month,Comparison_End_Month,DCA_Final_Total_Asset_Value,LumpSum_Final_Total_Asset_Value,Total_Initial_Capital,DCA_Return_Pct,DCA_Sharpe_Ratio,DCA_Max_Drawdown_Pct,DCA_Sortino_Ratio,DCA_Calmar_Ratio,LumpSum_Return_Pct,LumpSum_Sharpe_Ratio,LumpSum_Max_Drawdown_Pct,LumpSum_Sortino_Ratio,LumpSum_Calmar_Ratio,DCA_Outperforms_LumpSum_Return,LumpSum_Outperforms_DCA_Return
1,2019-08,2020-07,1560.264732187487,1690.900693610222,1200,30.022061015623912,1.2217217240758298,-19.344678454388497,1.2861129236208373,1.5531632364054477,40.90839113418517,1.1466964391738468,-28.559367879378772,1.273395414989582,1.4335573953791623,0,1
1,2019-09,2020-08,1683.1933755743075,1921.437405698963,1200,40.266114631192295,1.702374114431215,-16.99718921810478,1.8149998844443493,2.3863127549927556,60.11978380824691,1.5518882314682525,-28.559367879378826,1.6717618483276704,2.1214642201564313,0,1
1,2019-10,2020-09,1528.2469956645155,1791.1322154772674,1200,27.353916305376284,1.2198542425338534,-14.52203406033864,1.2940294453320156,1.885067189626314,49.26101795643895,1.2963722650332432,-28.559367879378772,1.4143378531458852,1.7262976906787169,0,1
1,2019-11,2020-10,1432.5519729746563,1635.2981325325477,1200,19.379331081221363,0.935103105647593,-11.954085767253764,1.0411505932309901,1.6272236590006477,36.274844377712306,1.0197129639318763,-28.55936787937876,1.1472711136915903,1.2752299709126416,0,1
1,2019-12,2020-11,1551.9277978293385,1781.8686568903024,1200,29.32731648577821,1.4242493803475516,-11.02680342896356,1.7005883141203377,2.67000168322198,48.489054740858535,1.2505966970847067,-28.559367879378794,1.4390760079255558,1.7048971337169154,0,1
1,2020-01,2020-12,1575.4131269752809,1751.6257833871928,1200,31.284427247940073,1.6758447596176045,-10.115355518616242,2.0047774177182083,3.104903355149219,45.968815282266064,1.1986603742055226,-28.559367879378804,1.3811779478675763,1.6162307617190468,0,1
1,2020-02,2021-01,1534.8610350551712,1707.0825345395974,1200,27.9050862545976,1.6076355452744828,-9.164576202343488,1.9857252217759882,3.085383318200242,42.25687787829979,1.1250756046415156,-28.559367879378804,1.3244111710428177,1.5003273451677426,0,1
1,2020-03,2021-02,1488.3249816747846,1751.7528954467052,1200,24.027081806232047,1.4798235383265557,-8.171188572459931,1.7558400634874352,2.9789907264100983,45.97940795389211,1.2165937202614898,-22.417745629277018,1.4252009901327194,2.0800929243814417,0,1
1,2020-04,2021-03,1463.9159809144421,2110.705640664862,1200,21.992998409536842,1.2882325962673085,-10.558624990900789,1.5400717129999804,2.0908316950792867,75.89213672207184,2.285732763278914,-12.749354393559697,3.1409263666959535,5.979405607362563,0,1
1,2020-05,2021-04,1467.7878084490555,1915.6897087657655,1200,22.31565070408796,1.4027998781759121,-9.789227970403092,1.7469757214757928,2.2882591687338736,59.64080906381379,2.073468319983783,-12.74935439355971,2.6709406188000573,4.6980768742575645,0,1
1,2020-06,2021-05,1391.9322236606554,1720.2783472006802,1200,15.994351971721283,1.0594200068217423,-8.960638748510451,1.332413078546219,1.8075879466332125,43.35652893339002,1.597073312556181,-12.749354393559676,2.0804743646778276,3.4484628280006944,0,1
1,2020-07,2021-06,1432.7839575241371,1705.1378546266687,1200,19.398663127011424,1.3888784149261066,-8.09030385414954,1.7964434726177165,2.4067552684691367,42.09482121888906,1.6161392212980674,-12.749354393559676,2.1615708759331755,3.3151763356181965,0,1
1,2020-08,2021-07,1430.1262196861792,1630.929221576643,1200,19.177184973848266,1.5129484553212078,-7.188137491511015,2.010267730086493,2.702173275002916,35.91076846472024,1.4611752509116065,-12.749354393559663,1.9070223448044674,2.8552504036771422,0,1
1,2020-09,2021-08,1452.6714599332338,1526.6536675492487,1200,21.05595499443615,1.8149684255315237,-6.27036742272894,2.481333026306405,3.3706823559920576,27.22113896243739,1.1699545404065872,-12.749354393559686,1.5037844950261492,2.14335289173453,0,1
1,2020-10,2021-09,1344.7506383324824,1530.034386056021,1200,12.06255319437353,1.0767833990414841,-6.1800981439598,1.3261939369435967,1.9589315016988766,27.50286550466842,1.286363356313813,-10.851549770512293,1.7446287573421237,2.5442720253377606,0,1
1,2020-11,2021-10,1419.4527793179377,1725.361190620341,1200,18.287731609828143,1.6951536863786283,-7.1685037984452915,2.1162338745788634,2.5837814738560994,43.78009921836175,2.0403745893594496,-10.851549770512293,2.815176950948071,4.091218401942305,0,1
1,2020-12,2021-11,1402.6980722311116,1565.6580071856943,1200,16.8915060192593,1.5790598557847613,-6.585189992426443,1.974236980492155,2.5745914387242106,30.471500598807854,1.5517881992853622,-10.851549770512293,2.0583100657505846,2.819019356774035,0,1
1,2021-01,2021-12,1389.6239979206387,1550.9360146493325,1200,15.801999826719888,1.3103630074051058,-5.98496375654004,1.70672408472272,2.673731743071198,29.244667887444376,1.4254531729480295,-10.851549770512314,2.015164818206642,2.7310015482471703,0,1
1,2021-02,2022-01,1241.372327735638,1357.728317925116,1200,3.4476939779698337,0.21537414609748082,-15.337558333053469,0.2549445948846801,0.22557280650091324,13.144026493759666,0.6696724732170509,-15.460501346253563,0.9350492874600823,0.8532723628386606,0,1
1,2021-03,2022-02,1173.1277792666804,1292.2676283177657,1200,-2.2393517277766364,-0.1938315991242502,-17.57492884942976,-0.21551439316470913,-0.1278500060420601,7.688969026480473,0.3957436590132838,-18.35531978096272,0.5478382767175788,0.42038858941080154,0,1
1,2021-04,2022-03,1220.9369819693525,1346.8040305637085,1200,1.7447484974460394,0.09464353952706073,-19.26103892754327,0.1173087182538828,0.09089811990697978,12.233669213642372,0.5915970416322419,-21.14355062268425,0.8617687882354007,0.5807047461264839,0,1
1,2021-05,2022-04,1045.6699044715876,1123.474441667966,1200,-12.860841294034364,-0.7919250012811364,-19.662721500777202,-0.9456884763109821,-0.6612489015721481,-6.377129861002838,-0.24775583583835142,-22.266972246138337,-0.35207330425072975,-0.289654659121437,0,1
1,2021-06,2022-05,1033.9430359668838,1116.8447749287632,1200,-13.838080336093014,-0.7426409665390551,-24.733227354041055,-0.8754335047384776,-0.5612748648341271,-6.929602089269736,-0.22595714924989677,-28.721352021252923,-0.31180979771837525,-0.24206909626872075,0,1
1,2021-07,2022-06,949.512086307615,953.844214811916,1200,-20.873992807698745,-1.127565304901342,-27.05386937734905,-1.335934510719812,-0.7739220325000761,-20.512982099006997,-0.782179624888366,-32.654538662202256,-1.0947980345944297,-0.630099957951102,0,1
1,2021-08,2022-07,1089.9981008515824,1044.035101377342,1200,-9.1668249290348,-0.4696380565826714,-24.32493388472947,-0.6004567671167831,-0.38107324813697685,-12.9970748852215,-0.41915543330793514,-32.654538662202285,-0.6113753089066152,-0.4023810013279773,1,0
1,2021-09,2022-08,1046.7942568632147,948.8654120499352,1200,-12.76714526139877,-0.7127919064652252,-21.561948568392953,-0.9405053140522939,-0.594011841427417,-20.927882329172064,-0.7337332662120524,-32.65453866220227,-1.0975133898488305,-0.642839173197707,1,0
1,2021-10,2022-09,956.0608433717115,895.9841374871463,1200,-20.328263052357375,-1.2218850838621271,-21.91058996889477,-1.5714641720586286,-0.9306191853294381,-25.33465520940447,-0.8975591173514296,-33.43249268027605,-1.3597789807849805,-0.7600249217301706,1,0
1,2021-11,2022-10,1017.9363296017729,866.2820956800394,1200,-15.171972533185595,-0.871818868697836,-21.10591520906612,-1.1897348290037522,-0.7211197142152221,-27.809825359996715,-0.9615408601538293,-35.05646202080948,-1.5119919996673912,-0.7955898200926195,1,0
1,2021-12,2022-11,1104.357119967681,915.042629059273,1200,-7.9702400026932505,-0.40608526013491675,-18.57650468928037,-0.6236307416183369,-0.43046233891209396,-23.746447578393912,-0.731415912350698,-35.11873548348552,-1.2073853970958643,-0.6781965809714744,1,0
1,2022-01,2022-12,1026.9785563435294,801.3612324214822,1200,-14.41845363803922,-0.8423044684089923,-17.027892826896473,-1.2874843125079034,-0.8559593617776715,-33.219897298209816,-1.1489417710423828,-33.9715540628171,-1.8977206632401469,-0.9871959619523456,1,0
1,2022-02,2023-01,1172.9842766338866,974.3638197073635,1200,-2.251310280509453,-0.13126559190340673,-15.29160124453266,-0.2091601051086356,-0.1477251078485917,-18.803015024386376,-0.5458671165194608,-29.561760264003656,-0.8902460565802811,-0.6380226811681908,1,0
1,2022-03,2023-02,1185.5799723077016,1039.1757451997491,1200,-1.2016689743581992,-0.08022367784971715,-13.54821857849091,-0.13044546595262116,-0.08899846121501429,-13.402021233354239,-0.35336665006873746,-29.5617602640036,-0.5829265920468,-0.45480384490395465,1,0
1,2022-04,2023-03,1312.7424550265655,1072.4747368336693,1200,9.395204585547125,0.5580709824979856,-11.780571886343383,0.9544021280197985,0.8003808218479153,-10.627105263860887,-0.267681019600975,-29.20126837880638,-0.4313341821767235,-0.3651067797827735,1,0
1,2022-05,2023-04,1330.3592050265033,1224.7113646276828,1200,10.863267085541944,0.6891819930673919,-10.068010744480894,1.1979888240564411,1.092365577499916,2.0592803856402306,0.16502648557931063,-21.648325946555236,0.26194350343381306,0.09625570407577683,1,0
1,2022-06,2023-05,1432.4800530782336,1375.1519346137009,1200,19.373337756519465,1.2711619731968502,-8.241558918678194,2.3618185809026246,2.35949943561305,14.59599455114174,0.5863183710465608,-21.648325946555257,0.9624475265553113,0.6767092631330636,1,0
1,2022-07,2023-06,1505.5239770889964,1582.47818001671,1200,25.460331424083034,1.7447876103960096,-6.345507210758017,3.243274541599017,4.027746138362322,31.873181668059164,1.1675279129313092,-21.648325946555314,2.022915573051656,1.4781066506106635,0,1
1,2022-08,2023-07,1530.0374284975824,1470.7984231238318,1200,27.503119041465197,2.0294491436428896,-4.631374343186545,3.6400774053776166,5.961416004541071,22.566535260319313,0.89883438904751,-21.64832594655517,1.4889638123977869,1.046372449962007,1,0
1,2022-09,2023-08,1485.3190295500415,1525.7914730901332,1200,23.77658579583679,1.7994546039999548,-7.067479154771705,2.9954428724912816,3.3770580075187424,27.149289424177763,1.0704931864559446,-16.02044989078677,1.8044804616663277,1.7012137584566536,0,1
1,2022-10,2023-09,1384.6063296094387,1582.4156758594827,1200,15.38386080078656,1.2480353583052055,-7.79810389423562,1.880928755836361,1.9977168477757945,31.867972988290223,1.2852864373175668,-11.234268239038014,2.3138492741402414,2.8749653846640197,0,1
